epoch,train_loss_batch_weighted_mean,lr,val_accuracy,val_precision,val_recall,val_macro_f1,elapsed_seconds
1,1.3655076384544373,0.001,0.4823529411764706,0.09647058823529411,0.2,0.13015873015873017,0.8692173330055084
2,1.213701359430949,0.0009939057285945933,0.4823529411764706,0.09647058823529411,0.2,0.13015873015873017,1.5638764160103165
3,1.2310796082019806,0.0009757729755661012,0.4823529411764706,0.09647058823529411,0.2,0.13015873015873017,2.24836320799659
4,1.2252732952435812,0.0009460482294732422,0.4823529411764706,0.09647058823529411,0.2,0.13015873015873017,3.016615375003312
5,1.1777840952078502,0.0009054634122155991,0.5764705882352941,0.25271629778672033,0.2955070603337612,0.2604978354978355,3.744315749994712
6,1.0730874836444855,0.0008550178566873411,0.4823529411764706,0.3336406619385343,0.36944801026957635,0.32045219586203194,4.46037591600907
7,1.0417589604854585,0.0007959536998847743,0.611764705882353,0.35757575757575755,0.41181001283697044,0.37875803941551556,5.155537833023118
8,1.0105173468589783,0.0007297252973710758,0.611764705882353,0.2625199362041467,0.3327342747111682,0.28942449581898677,5.890459665999515
9,0.9149046679337819,0.0006579634122155991,0.6235294117647059,0.37603559510567297,0.43928112965340177,0.396969696969697,6.597982583014527
10,0.8241189102331797,0.0005824350601949144,0.5764705882352941,0.3774172015404364,0.43671373555840826,0.37272727272727274,7.318086250015767
11,0.805103721221288,0.0005050000000000001,0.6823529411764706,0.4385714285714286,0.407188703465982,0.38256213537920564,8.024517333018593
12,0.7205166399478913,0.000427564939805086,0.6352941176470588,0.3922714932126697,0.46110397946084725,0.4047951210215361,8.903381000010995
13,0.7227236509323121,0.0003520365877844012,0.6705882352941176,0.4027319243604005,0.47008985879332477,0.42474747474747476,9.81946887500817
14,0.7253604352474212,0.00028027470262892445,0.7176470588235294,0.4224710424710425,0.47830551989730424,0.4437534097108566,10.729408500017598
15,0.65007743537426,0.0002140463001152259,0.7058823529411765,0.4201904761904761,0.46213093709884473,0.4379444066191054,11.669379500002833
16,0.6196986039479574,0.00015498214331265904,0.6705882352941176,0.4053439153439153,0.4757381258023107,0.42172613726341607,12.537129750009626
17,0.6366508513689041,0.00010453658778440108,0.7411764705882353,0.4398871915393654,0.4993581514762516,0.46473526473526466,13.455837083020015
18,0.5899331311384837,6.395177052675796e-05,0.6823529411764706,0.4050595238095238,0.4636713735558408,0.4214853612677948,14.332174208015203
19,0.6105843583742777,3.422702443389901e-05,0.7058823529411765,0.4208994708994709,0.4903722721437741,0.4416776328647184,15.200089332996868
20,0.6119407027959823,1.6094271405406862e-05,0.7176470588235294,0.42989098998887654,0.4952503209242619,0.44602597402597405,16.062476791004883
