class,precision,recall,f1,support
idle,0.09642248722316865,0.2750242954324587,0.14278506559031282,2058
swing_bucket,0.5215295629820051,0.29174905626460546,0.37417867435158503,5563
load_bucket,0.6237758433079434,0.3551184760724795,0.45258067699595383,6457
dump,0.4309728183118741,0.7845052083333334,0.5563250230840259,1536
move,0.0,0.0,0.0,0
