class,precision,recall,f1,support
idle,0.058823529411764705,0.6,0.10714285714285714,10
swing_bucket,0.7358490566037735,0.4875,0.5864661654135339,80
load_bucket,1.0,0.045454545454545456,0.08695652173913045,44
dump,0.9166666666666666,0.3142857142857143,0.4680851063829787,35
move,0.0,0.0,0.0,1
