epoch,train_loss_batch_weighted_mean,lr,val_accuracy,val_precision,val_recall,val_macro_f1,elapsed_seconds
1,1.3659908771514893,0.001,0.4823529411764706,0.09647058823529411,0.2,0.13015873015873017,1.0899877499905415
2,1.216790775458018,0.0009939057285945933,0.4823529411764706,0.09647058823529411,0.2,0.13015873015873017,1.9883160419994965
3,1.2339437703291576,0.0009757729755661012,0.4823529411764706,0.09647058823529411,0.2,0.13015873015873017,2.878424541995628
4,1.2382211367289224,0.0009460482294732422,0.4823529411764706,0.09647058823529411,0.2,0.13015873015873017,3.829427916993154
5,1.1799630006154378,0.0009054634122155991,0.5764705882352941,0.23428571428571426,0.2898587933247753,0.25002649708532065,4.697767042001942
6,1.0792543371518453,0.0008550178566873411,0.49411764705882355,0.2709941520467836,0.31784338896020536,0.2870032223415682,5.595586624986026
7,1.0216137647628785,0.0007959536998847743,0.4235294117647059,0.3076023391812866,0.3507060333761232,0.2744930689203135,6.491859957983252
8,1.0465296943982443,0.0007297252973710758,0.5294117647058824,0.24542124542124544,0.2477535301668806,0.21137685843568194,7.394791083002929
9,0.9317231198151906,0.0006579634122155991,0.4,0.2782857142857143,0.3070603337612323,0.25990904840834717,8.292358832986793
10,0.8683477799097697,0.0005824350601949144,0.3764705882352941,0.26444691083980765,0.3086007702182285,0.25238095238095243,9.199519791989587
11,0.8596625030040741,0.0005050000000000001,0.5058823529411764,0.3184795321637427,0.33966623876765084,0.3247339127038375,10.104655916977208
12,0.76487770875295,0.000427564939805086,0.4235294117647059,0.2863636363636363,0.362002567394095,0.26734146341463416,11.015788749995409
13,0.7495534549156825,0.0003520365877844012,0.4588235294117647,0.3073748473748474,0.33145057766367136,0.2926729986431479,11.912643374991603
14,0.7753677864869436,0.00028027470262892445,0.49411764705882355,0.3243626743626743,0.3517329910141207,0.31114506408624054,12.816518124978757
15,0.6749243944883346,0.0002140463001152259,0.5294117647058824,0.3512121212121212,0.36071887034659816,0.3327117166373591,13.7000562500034
16,0.6517482995986938,0.00015498214331265904,0.4470588235294118,0.29333333333333333,0.3378690629011553,0.2887601887601888,14.60639658299624
17,0.684603234132131,0.00010453658778440108,0.5058823529411764,0.3169397201851563,0.35661103979460845,0.31859879584017514,15.58413108298555
18,0.6212083220481872,6.395177052675796e-05,0.47058823529411764,0.30333333333333334,0.3363286264441592,0.2977569074671922,16.494923416990787
19,0.6195423285166423,3.422702443389901e-05,0.4470588235294118,0.29500000000000004,0.33786906290115526,0.28318630934961053,17.40036516697728
20,0.6503158827622731,1.6094271405406862e-05,0.4588235294117647,0.2995555555555556,0.33709884467265727,0.29092023172905523,18.32510841698968
