epoch,train_loss_batch_weighted_mean,val_accuracy,val_precision,val_recall,val_macro_f1,elapsed_seconds
1,1.5182447183031995,0.2235294117647059,0.04470588235294118,0.2,0.07307692307692307,2.659179625014076
2,1.5035663863190083,0.2235294117647059,0.04470588235294118,0.2,0.07307692307692307,3.288343624997651
3,1.3938986623988432,0.5529411764705883,0.27301587301587305,0.32528883183568674,0.2963157894736842,3.908199291006895
4,1.0895628919120597,0.32941176470588235,0.36875,0.2777920410783056,0.2321062886042366,4.539003541023703
5,0.8534813808793781,0.4588235294117647,0.28909090909090907,0.3565083440308087,0.29681890950183637,5.171493500005454
6,0.7300588954396608,0.5294117647058824,0.40014814814814814,0.3889602053915276,0.3700743618945535,5.794729665998602
7,0.6635048699980023,0.49411764705882355,0.4345238095238096,0.3969191270860077,0.3288016179444751,6.416877000010572
8,0.5752781634571171,0.5764705882352941,0.3919047619047619,0.41412066752246474,0.38447293447293446,7.054116208018968
9,0.4805588972668688,0.5882352941176471,0.40995354239256676,0.43029525032092425,0.3907030603804797,7.713749083020957
10,0.49862738980465576,0.5411764705882353,0.4014285714285714,0.410783055198973,0.3599512859087327,8.35274554102216
11,0.4853717491907232,0.5882352941176471,0.3786111111111111,0.3681643132220796,0.372394720301697,8.993897750013275
12,0.41810362629529807,0.5882352941176471,0.4043939393939394,0.39640564826700897,0.3951861574296595,9.624899415997788
