class,precision,recall,f1,support
idle,1.0,0.4,0.5714285714285715,5
swing_bucket,1.0,0.926829268292683,0.9620253164556963,41
load_bucket,0.6153846153846154,0.8421052631578947,0.7111111111111111,19
dump,0.7368421052631579,0.7368421052631579,0.7368421052631579,19
move,0.0,0.0,0.0,1
