epoch,train_loss_batch_weighted_mean,lr,val_accuracy,val_precision,val_recall,val_macro_f1,elapsed_seconds
1,1.3660112063090006,0.001,0.4823529411764706,0.09647058823529411,0.2,0.13015873015873017,1.0993425000051502
2,1.2152090469996135,0.0009939057285945933,0.4823529411764706,0.09647058823529411,0.2,0.13015873015873017,1.8790782919968478
3,1.2350603898366292,0.0009757729755661012,0.4823529411764706,0.09647058823529411,0.2,0.13015873015873017,2.6376032090047374
4,1.2362725973129272,0.0009460482294732422,0.4823529411764706,0.09647058823529411,0.2,0.13015873015873017,3.4278477919870056
5,1.1837888558705647,0.0009054634122155991,0.5529411764705883,0.2293333333333333,0.26315789473684215,0.22413793103448273,4.211084209004184
6,1.079458443323771,0.0008550178566873411,0.4235294117647059,0.27263743693763975,0.3281129653401797,0.271264367816092,5.020955291984137
7,1.0121164838473002,0.0007959536998847743,0.4588235294117647,0.3700828157349897,0.38228498074454426,0.2909341438703141,5.809542250004597
8,1.0170178314050038,0.0007297252973710758,0.5647058823529412,0.2467948717948718,0.2849807445442875,0.25055309734513276,6.606413959001657
9,0.9166572670141856,0.0006579634122155991,0.4,0.2773333333333333,0.3127086007702182,0.2628596984053778,7.419262209004955
10,0.8678748985131581,0.0005824350601949144,0.4,0.2750326797385621,0.32400513478819,0.2688763726244986,8.22149983397685
11,0.8648997584978739,0.0005050000000000001,0.47058823529411764,0.314,0.34762516046213093,0.3139899648374225,9.011522166983923
12,0.7765201429526011,0.000427564939805086,0.4117647058823529,0.264,0.3514762516046213,0.25392383595436324,9.846030749991769
13,0.7782408813635509,0.0003520365877844012,0.4588235294117647,0.31074168797953966,0.348395378690629,0.30163614163614166,10.607801791979
14,0.8000849187374115,0.00028027470262892445,0.5058823529411764,0.3389037433155081,0.3679075738125802,0.32722832722832723,11.398992583999643
15,0.7305559794108073,0.0002140463001152259,0.5882352941176471,0.3660130718954248,0.4020539152759948,0.37266700662927077,12.174499374988955
16,0.7123570164044698,0.00015498214331265904,0.4588235294117647,0.3047727272727273,0.36534017971758664,0.2952207603099485,12.961458584002685
17,0.7185413281122843,0.00010453658778440108,0.5294117647058824,0.33143073143073143,0.38331193838254174,0.3392506110562172,13.73954770900309
18,0.6681332767009736,6.395177052675796e-05,0.49411764705882355,0.31724137931034485,0.3856225930680359,0.3135370205173952,14.519834374979837
19,0.6848950833082199,3.422702443389901e-05,0.47058823529411764,0.3227210884353741,0.37021822849807445,0.30428571428571427,15.314722458977485
20,0.7094667375087738,1.6094271405406862e-05,0.5058823529411764,0.33086124401913874,0.3848523748395379,0.32452187379016645,16.107149041985394
