epoch,train_loss_batch_weighted_mean,lr,val_accuracy,val_precision,val_recall,val_macro_f1,elapsed_seconds
1,1.5499611655871073,0.001,0.2235294117647059,0.04470588235294118,0.2,0.07307692307692307,1.8229113749985117
2,1.4720569213231405,0.0009939057285945933,0.2235294117647059,0.04470588235294118,0.2,0.07307692307692307,2.530928958003642
3,1.4028701742490133,0.0009757729755661012,0.3411764705882353,0.2863095238095238,0.2839024390243902,0.19755404794210762,3.175007749989163
4,1.2184571345647177,0.0009460482294732422,0.27058823529411763,0.22743764172335598,0.3035173299101412,0.19472353709641846,3.8364983329956885
5,0.9598503390947978,0.0009054634122155991,0.32941176470588235,0.38593406593406593,0.339204107830552,0.2630917874396136,4.460333041992271
6,0.8477427691221238,0.0008550178566873411,0.4117647058823529,0.3095238095238095,0.26675224646983314,0.286151786461384,5.106606582994573
7,0.7390472143888474,0.0007959536998847743,0.47058823529411764,0.4216666666666667,0.43727856225930684,0.36827272356684115,5.742410000006203
8,0.6315778175989787,0.0007297252973710758,0.5176470588235295,0.3520833333333333,0.36148908857509626,0.3420728291316526,6.406639374996303
9,0.5591615448395412,0.0006579634122155991,0.5529411764705883,0.38828571428571423,0.3930680359435173,0.3785944551901999,7.047122791991569
10,0.560515699783961,0.0005824350601949144,0.4823529411764706,0.2235562310030395,0.29602053915275994,0.25377176015473885,7.682225083000958
11,0.4697824383775393,0.0005050000000000001,0.5176470588235295,0.3941025641025641,0.4010269576379974,0.3426045553068258,8.290706250001676
12,0.47203201552232105,0.000427564939805086,0.47058823529411764,0.21442125237191653,0.251604621309371,0.22761596548004315,8.910844833008014
13,0.549795459707578,0.0003520365877844012,0.6235294117647059,0.41000777000777006,0.3940949935815147,0.3964690867838911,9.527511666994542
14,0.49298499524593353,0.00028027470262892445,0.6,0.4082576489533011,0.41822849807445445,0.39973649538866934,10.151005499996245
15,0.3779760440190633,0.0002140463001152259,0.5764705882352941,0.3993633540372671,0.3858793324775353,0.38962406015037593,10.764621292008087
16,0.44641014089186987,0.00015498214331265904,0.6235294117647059,0.4440350877192983,0.433632862644416,0.42152854664132866,11.397044999990612
17,0.40051556527614596,0.00010453658778440108,0.6352941176470588,0.4212014960261804,0.4441591784338896,0.4127179487179487,12.033474958006991
18,0.378613610068957,6.395177052675796e-05,0.6352941176470588,0.41438228438228436,0.4441591784338896,0.4108304630692691,12.665656333003426
19,0.3611105874180794,3.422702443389901e-05,0.6235294117647059,0.4001536098310291,0.433632862644416,0.40353623188405796,13.298594666994177
20,0.39987369378407794,1.6094271405406862e-05,0.6352941176470588,0.4177647058823529,0.4441591784338896,0.410062893081761,13.935643208009424
