class,precision,recall,f1,support
idle,0.0,0.0,0.0,5
swing_bucket,0.5428571428571428,0.926829268292683,0.6846846846846847,41
load_bucket,0.0,0.0,0.0,19
dump,0.42857142857142855,0.3157894736842105,0.36363636363636365,19
move,0.0,0.0,0.0,1
