epoch,train_loss_batch_weighted_mean,lr,val_accuracy,val_precision,val_recall,val_macro_f1,elapsed_seconds
1,1.3603125015894573,0.001,0.4823529411764706,0.09647058823529411,0.2,0.13015873015873017,1.21078712499002
2,1.206514048576355,0.0009939057285945933,0.4823529411764706,0.09647058823529411,0.2,0.13015873015873017,2.232265708997147
3,1.213354468345642,0.0009757729755661012,0.4823529411764706,0.09647058823529411,0.2,0.13015873015873017,3.281631166988518
4,1.1978595415751139,0.0009460482294732422,0.4823529411764706,0.09761904761904762,0.2,0.13119999999999998,4.331510999996681
5,1.1283251881599425,0.0009054634122155991,0.5647058823529412,0.24933333333333332,0.2736842105263158,0.23793103448275862,5.360119541990571
6,1.0560800413290659,0.0008550178566873411,0.6,0.2870651204281891,0.33915275994865207,0.3084210526315789,6.414463541994337
7,0.9984048704306284,0.0007959536998847743,0.6352941176470588,0.29021739130434787,0.37073170731707317,0.32528227785959746,7.434742834011558
8,0.9766370157400767,0.0007297252973710758,0.6470588235294118,0.29384057971014493,0.3473684210526316,0.3090909090909091,8.456489459000295
9,0.9071348230044047,0.0006579634122155991,0.6588235294117647,0.29705882352941176,0.35789473684210527,0.3171253822629969,9.478325000003679
10,0.846862421433131,0.0005824350601949144,0.6941176470588235,0.29636493228795435,0.3951219512195122,0.33781512605042013,10.521747458988102
11,0.8333025316397349,0.0005050000000000001,0.6,0.3099415204678363,0.3448010269576379,0.32148227712137484,11.549867875000928
12,0.7896869421005249,0.000427564939805086,0.6,0.31036510659152167,0.35609756097560974,0.3295035460992908,12.576577416999498
13,0.7664770444234212,0.0003520365877844012,0.6352941176470588,0.2934624697336562,0.36508344030808726,0.324,13.613190709002083
14,0.8088740070660909,0.00028027470262892445,0.6823529411764706,0.2984126984126984,0.3845956354300385,0.3338461538461538,14.640524166985415
15,0.7310786247253418,0.0002140463001152259,0.6941176470588235,0.2995535714285714,0.3894736842105263,0.3361904761904762,15.692130667011952
16,0.6814410060644149,0.00015498214331265904,0.6941176470588235,0.2995535714285714,0.3894736842105263,0.3361904761904762,16.73988454201026
17,0.7365118344624837,0.00010453658778440108,0.6941176470588235,0.2995535714285714,0.3894736842105263,0.3361904761904762,17.757316584000364
18,0.6967978398005168,6.395177052675796e-05,0.6705882352941176,0.29723502304147464,0.3797175866495507,0.3314563106796117,18.783397874998627
19,0.7146454115708669,3.422702443389901e-05,0.6470588235294118,0.2947619047619048,0.36996148908857507,0.32653465346534655,19.81661766700563
20,0.721772180000941,1.6094271405406862e-05,0.6588235294117647,0.33685230024213075,0.3804878048780488,0.3446666666666667,20.835686792008346
