run,model,training_mode,seed,clip_accuracy,clip_precision,clip_recall,clip_macro_f1,continuous_accuracy,continuous_precision,continuous_recall,continuous_macro_f1,continuous_evaluated_frames,continuous_coverage,continuous_edit_video_mean,continuous_segment_f1_at_0.1,continuous_segment_f1_at_0.25,continuous_segment_f1_at_0.5,stride,alpha
single_stream_s42,single,stream,42,0.3058823529411765,0.3552827257745291,0.18165584415584418,0.17061238146732002,0.2829352608422376,0.35137449921541164,0.20266223075692152,0.1789956359098876,31820,0.9961805772963497,0.4947350543478261,0.3446601941747573,0.2815533980582524,0.0970873786407767,8,0.5
temporal_stream_s42,temporal,stream,42,0.3411764705882353,0.5422678505364409,0.2894480519480519,0.24973013013570006,0.27435575109993715,0.43824677995121775,0.26438209387729117,0.25091255158934767,31820,0.9961805772963497,0.525662579113924,0.5053191489361702,0.44680851063829785,0.32978723404255317,8,0.5
single_stream_s3407,single,stream,3407,0.38235294117647056,0.3511501831501832,0.20801948051948052,0.17655761024182076,0.3137335009428033,0.3153287434759047,0.22784054726099684,0.17981824414448994,31820,0.9961805772963497,0.5014019462312387,0.37467018469656993,0.27440633245382584,0.07387862796833773,8,0.5
temporal_stream_s3407,temporal,stream,3407,0.5117647058823529,0.44635531135531137,0.3430844155844156,0.308033427455007,0.5708045254556883,0.4399687587280384,0.3529530846335774,0.34843748483184456,31820,0.9961805772963497,0.6249079528718704,0.5608465608465608,0.5132275132275133,0.31216931216931215,8,0.5
single_stream_s2026,single,stream,2026,0.34705882352941175,0.34756875892469113,0.25990259740259736,0.2611198069848359,0.3373350094280327,0.3490228943796995,0.27152777760821223,0.2765042029404579,31820,0.9961805772963497,0.49152644230769227,0.45433255269320844,0.3981264637002342,0.2810304449648712,8,0.5
temporal_stream_s2026,temporal,stream,2026,0.36470588235294116,0.2776190476190476,0.2681818181818182,0.18753191489361704,0.29626021370207417,0.2358527789542725,0.23613064717196494,0.17439399710277115,31820,0.9961805772963497,0.4796808510638298,0.375,0.30357142857142855,0.09523809523809523,8,0.5
