run,model,seed,parameters,checkpoint_bytes,classification_input_fps,classification_clips_per_second,classification_batch32_amortized_clip_ms,continuous_batch1_window_ms,continuous_windows_per_second
single_stream_s42,single,42,90277,365829,604.6701879482007,604.6701879482007,1.6537941177375615,1.4606555167887174,684.6241215030095
temporal_stream_s42,temporal,42,127333,515699,1506.597457317638,188.32468216470474,5.309978429303395,8.155410148728153,122.61798999231831
single_stream_s3407,single,3407,90277,365829,1504.956401244423,1504.956401244423,0.664471076486413,1.1296043170828423,885.2657385220162
temporal_stream_s3407,temporal,3407,127333,515699,1973.7944907807862,246.72431134759827,4.053106864654076,7.1316819612073,140.2193767808896
single_stream_s2026,single,2026,90277,365829,1303.3940351621159,1303.3940351621159,0.7672276940224144,1.2346859611973844,809.9225482649947
temporal_stream_s2026,temporal,2026,127333,515699,1399.4797909224128,174.9349738653016,5.716409805908745,7.832655558319523,127.67062110089104
