model,video_id,clips,accuracy_mean,macro_f1_mean
single,104154,76,0.2982456140350877,0.15537481537713413
single,134516,94,0.3829787234042554,0.22350166945133487
temporal,104154,76,0.25,0.15425834078892237
temporal,134516,94,0.5319148936170213,0.28755244860102475
