class,precision,recall,f1,support
idle,0.38461538461538464,1.0,0.5555555555555556,5
swing_bucket,0.75,0.8780487804878049,0.8089887640449439,41
load_bucket,0.7,0.7368421052631579,0.717948717948718,19
dump,0.25,0.05263157894736842,0.08695652173913043,19
move,0.0,0.0,0.0,1
